Gene,Annotation
ADAMTS5,DefenseRE
ADIPOQ,DefenseRE
AEN,DefenseRE
AGBL4,DefenseRE
AGBL5,DefenseRE
AKT1,DefenseRE
APOBEC1,DefenseRE
ATG7,DefenseRE
ATG16L1,DefenseRE
BATF2,DefenseRE
BDKRB1,DefenseRE
BECN1,DefenseRE
BNIP3,DefenseRE
BNIP3L,DefenseRE
BPIFA2,DefenseRE
CCDC88B,DefenseRE
CD207,DefenseRE
CD209D,DefenseRE
CEBPB,DefenseRE
CEBPE,DefenseRE
CHUK,DefenseRE
CNR2,DefenseRE
COTL1,DefenseRE
CREB3,DefenseRE
CST11,DefenseRE
CXADR,DefenseRE
DDIT4,DefenseRE
DDX17,DefenseRE
DDX41,DefenseRE
DEFA12,DefenseRE
DEFA-RS4,DefenseRE
DEFB2,DefenseRE
DEFB3,DefenseRE
DEFB4,DefenseRE
DEFB5,DefenseRE
DEFB6,DefenseRE
DEFB7,DefenseRE
DEFB8,DefenseRE
DEFB9,DefenseRE
DEFB10,DefenseRE
DEFB11,DefenseRE
DEFB13,DefenseRE
DEFB14,DefenseRE
DEFB33,DefenseRE
DEFB37,DefenseRE
DEFB38,DefenseRE
DEFB39,DefenseRE
DEFB40,DefenseRE
DEFB42,DefenseRE
DEFB46,DefenseRE
DEFB47,DefenseRE
DEFB48,DefenseRE
DEFB50,DefenseRE
DICER1,DefenseRE
DROSHA,DefenseRE
DUOX2,DefenseRE
EDNRA,DefenseRE
EDNRB,DefenseRE
ELMOD2,DefenseRE
EPHA2,DefenseRE
EPX,DefenseRE
ERCC6,DefenseRE
EXOSC4,DefenseRE
EXOSC5,DefenseRE
F2R,DefenseRE
FABP4,DefenseRE
FV1,DefenseRE
GGT1,DefenseRE
GGT5,DefenseRE
GPAM,DefenseRE
GSTP1,DefenseRE
HAMP,DefenseRE
HAMP2,DefenseRE
HNRNPA0,DefenseRE
HP,DefenseRE
HSF1,DefenseRE
HTRA1,DefenseRE
HYAL1,DefenseRE
HYAL2,DefenseRE
HYAL3,DefenseRE
IER3,DefenseRE
IFIT1BL1,DefenseRE
IFIT1BL2,DefenseRE
IFIT3B,DefenseRE
IFNGR1,DefenseRE
IFNGR2,DefenseRE
IL10RB,DefenseRE
IL17A,DefenseRE
IL17RA,DefenseRE
IL17RC,DefenseRE
IL22RA1,DefenseRE
ILF3,DefenseRE
IRF2,DefenseRE
ITGAV,DefenseRE
ITGAX,DefenseRE
ITLNB,DefenseRE
JAGN1,DefenseRE
